# 来源：kajweb/dict GaoZhongluan_2（有道高考必备词汇，非官方新课标3500表）
# 格式：word|词性|中文释义。词性含 n/v/a/d 时分别控制生成复数/动词变形/比较级。
# 词条数：3665（跳过 3 条：词组、重复或非法字符）
a|n|n 字母A；第一流的；学业成绩达最高标准的评价符号；abbr [物]安（ampere）
abandon|n v|n 放任；狂热；v 遗弃；放弃
ability|n|n 能力，能耐；才能
able|a n|adj 能；[经管] 有能力的；能干的；n (Able)人名；(伊朗)阿布勒；(英)埃布尔
abnormal|a|adj 反常的，不规则的；变态的
aboard|d|adv 在飞机上；[船] 在船上；在火车上；prep 在…上
abolish|v|v 废除，废止；取消，革除
abortion|n|n 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
about|a d n|prep 关于；大约；adj 在附近的；四处走动的；在起作用的
above|a d n|prep 超过；在……上面；在……之上；adv 在上面；在上文
abroad|a d n|adv 在国外；到海外；adj 往国外的
abrupt|a|adj 生硬的；突然的；唐突的；陡峭的
absence|n|n 没有；缺乏；缺席；不注意
absent|a v|adj 缺席的；缺少的；心不在焉的；茫然的；v 使缺席
absolute|a n|adj 绝对的；完全的；专制的；n 绝对；绝对事物
absorb|v|v 吸收；吸引；承受；理解；使…全神贯注
abstract|a n v|n 摘要；抽象；抽象的概念；adj 抽象的；深奥的
absurd|a n|adj 荒谬的；可笑的；n 荒诞；荒诞作品
abundant|a|adj 丰富的；充裕的；盛产
abuse|n v|n 滥用；虐待；辱骂；弊端；恶习，陋习；v 滥用；虐待；辱骂
academic|a n|adj 学术的；理论的；学院的；n 大学生，大学教师；学者
academy|n|n 学院；研究院；学会；专科院校
accelerate|v|v 使……加快；使……增速
accent|n v|n 口音；重音；强调；特点；重音符号；v 强调；重读；带…口音讲话
accept|v|v 接受；承认；承担；承兑；容纳
access|n v|v 使用；存取；接近；n 进入；使用权；通路
accessible|a|adj 易接近的；可进入的；可理解的
accident|n|n 事故；意外；[法] 意外事件；机遇
accommodation|n|n 住处，膳宿；调节；和解；预订铺位
accompany|v|v 陪伴，伴随；伴奏
accomplish|v|v 完成；实现；达到
account|n v|n 账户；解释；账目，账单；理由；描述；v 解释；导致；报账
accountant|n|n 会计师；会计人员
accumulate|v|v 累积；积聚
accuracy|n|n [数] 精确度，准确性
accuse|v|v 控告，指控；谴责；归咎于
accustomed|a v|adj 习惯的；通常的；独有的；v 使习惯于（accustom的过去分词）
ache|n v|v 疼痛；渴望；n 疼痛
achieve|v|v 取得；获得；实现；成功
achievement|n|n 成就；完成；达到；成绩
acid|a n|n 酸；<俚>迷幻药；adj 酸的；讽刺的；刻薄的
acknowledge|v|v 承认；答谢；报偿；告知已收到
acquaintance|n|n 熟人；相识；了解；知道
acquire|v|v 获得；取得；学到；捕获
acquisition|n|n 获得物，获得；收购
acre|n|n 土地，地产；英亩
across|d|prep 穿过；横穿；adv 横过；在对面
act|n v|v 扮演；装作，举动像；n 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
action|n|n 行动；活动；功能；战斗；情节
active|a n|adj 积极的；活跃的；主动的；有效的；现役的；n 主动语态；积极分子
activity|n|n 活动；行动；活跃
actor|n|n 男演员；行动者；作用物
actress|n|n 女演员
actual|a|adj 真实的，实际的；现行的，目前的
acute|a|adj 严重的，[医] 急性的；敏锐的；激烈的；尖声的
ad|n|n 公元；广告（ad）
adapt|v|v 使适应；改编
adaptation|n|n 适应；改编；改编本，改写本
add|n v|v 加；增加；加起来；做加法；n 加法，加法运算
addicted|a v|adj 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的；v 使…上瘾（addict的过去分词）
addition|n|n 添加；[数] 加法；增加物
address|n v|v 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理；n 地址；演讲；致辞；说话的技巧；称呼
adequate|a|adj 充足的；适当的；胜任的
adjust|v|v 调整，使…适合；校准
adjustment|n|n 调整，调节；调节器
administration|n|n 管理；行政；实施；行政机构
admirable|a|adj 令人钦佩的；极好的；值得赞扬的
admire|v|v 钦佩；赞美
admission|n|n 承认；入场费；进入许可；坦白；录用
admit|v|v 承认；准许进入；可容纳
adolescence|n|n 青春期
adolescent|a n|adj 青春期的；未成熟的；n 青少年
adopt|v|v 采取；接受；收养；正式通过
adore|n v|v 崇拜；爱慕；喜爱；极喜欢；n (Adore)人名；(法)阿多尔
adult|a n|adj 成年的；成熟的；n 成年人
advance|a n v|n 发展；前进；增长；预付款；v 提出；预付；使……前进；将……提前
advantage|n v|n 优势；利益；有利条件；v 获利
adventure|n v|n 冒险；冒险精神；投机活动；v 冒险；大胆说出
advertise|v|v 通知；为…做广告；使突出
advertisement|n|n 广告，宣传
advice|n|n 建议；忠告；劝告；通知
advise|v|v 建议；劝告，忠告；通知；警告
advocate|n v|v 提倡，主张，拥护；n 提倡者；支持者；律师
aeroplane|n|n 飞机（等于airplane）
affair|n|n 事情；事务；私事；（尤指关系不长久的）风流韵事
affect|n v|v 影响；感染；感动；假装；n 情感；引起感情的因素
affection|n|n 喜爱，感情；影响；感染
afford|n v|v 给予，提供；买得起；n (Afford)人名；(英)阿福德
afraid|a|adj 害怕的；恐怕；担心的
africa|n|n 非洲
african|a n|adj 非洲的，非洲人的；n 非洲人
after|a d|adv 后来，以后；prep 在……之后
afternoon|n|n 午后，下午
