# 来源：中考英语核心高频688词背诵版.pdf
# 格式：word|词性|中文释义。词性含 n/v/a/d 时分别控制生成复数/动词变形/比较级。
# 词条数：688
ability|n|能力；才能；技能n.
able|a|能够；有能力的adj.
above|a d|在…上面prep.在上面adv.上面的adj.
abroad|d|在国外；到国外；海外adv.
accept|v|接受；认可；接纳v.
accident|n|事故；意外；偶然的事n.
accord|n v|给予；授予；符合v.协议；条约n.
achieve|v|达到；实现；获得v.
across|d|穿过；横过adv.穿过；越过prep.
act|n v|行动；表演；扮演v.行为；行动；法案n.
active|a|积极的；活跃的；主动的adj.
activity|n|活动；行动；活跃n.
actually|d|实际上；事实上；竟然adv.
add|v|增加；添加；补充v.
addict|n v|使上瘾；沉迷v.瘾君子；爱好者n.
address|n v|地址；住址；演讲n.演说；称呼v.
admire|v|钦佩；赞赏；羡慕v.
adult|a n|成年人n.成年的；成熟的adj.
advantage|n|优势；有利条件；好处n.
advice|n|建议；劝告；忠告n.
affect|v|影响；感染；打动v.
afford|v|买得起；承担得起；提供v.
afraid|a|害怕的；担心的；恐怕adj.
against||反对；违反；靠着prep.
agree|v|同意；赞成；一致v.
ahead|a d|在前的；提前的adj.向前；提前adv.
aid|n v|帮助；援助；辅助n.帮助；援助v.
aim|n v|目标；目的；瞄准n.瞄准；旨在v.
alive|a|活着的；有活力的；活跃的adj.
allow|v|允许；准许；让…得到v.
alone|a d|独自的；单独的adj.独自地；单独地adv.
aloud|d|大声地；出声地adv.
amaze|v|使惊奇；使惊愕；使惊叹v.
among||在…之中；在…之间prep.
amount|n v|数量；数额n.总计；合计v.
amusement|n|娱乐；消遣；乐趣n.
ancient|a|古代的；古老的；远古的adj.
angry|a|生气的；愤怒的；恼火的adj.
annoy|v|使恼怒；使烦恼；打扰v.
another|a|另一个；再一个adj.另一个pron.
anxious|a|焦虑的；担忧的；渴望的adj.
apologize|v|道歉；认错；谢罪v.
appear|v|出现；显现；似乎v.
apply|v|申请；应用；适用v.
appreciate|v|欣赏；感激；重视v.
area|n|面积；地区；领域n.
argue|v|争论；争辩；辩论v.
arm|n v|手臂；胳膊；武器n.武装；装备v.
arrangement|n|安排；布置；整理n.
article|n|文章；论文；物品；冠词n.
artist|n|艺术家；画家；艺人n.
asleep|a|睡着的；熟睡的adj.
associate|v|联想；联系；交往v.
astronaut|n|宇航员；航天员n.
attend|v|出席；参加；照料v.
attention|n|注意；关注；注意力n.
attitude|n|态度；看法；姿态n.
attract|v|吸引；引起…的注意v.
audience|n|观众；听众；读者n.中考英语核心高频688词第17页共21页Day17（序号529-561）序号英文单词音标中文释义
available|a|可获得的；可利用的；有空的adj.
average|a n|平均；平均数n.平均的；普通的adj.
avoid|v|避免；避开；逃避v.
award|n v|授予；颁发；奖励v.奖品；奖项n.
awful|a|可怕的；糟糕的；极坏的adj.
background|n|背景；底色；经历n.
balance|n v|平衡；均衡；余额n.使平衡；权衡v.
band|n v|乐队；带子；波段n.用带绑扎v.
bank|n v|银行；河岸；库n.存款；倾斜转弯v.
basic|a|基本的；基础的；根本的adj.
bath|n v|洗澡；沐浴；浴室n.洗澡；沐浴v.
battery|n|电池；蓄电池n.
beach|n|海滩；海滨n.
beat|n v|打败；敲打；跳动v.节拍；敲打n.
behaviour|n|行为；举止；表现n.
belief|n|相信；信仰；信念n.
believe|v|相信；认为；信任v.
belong|v|属于；应归入；适应v.
belt|n v|腰带；皮带；地带n.系腰带；环绕v.
benefit|n v|利益；好处；益处n.有益于；受益v.
beside||在…旁边；在…附近prep.中考英语核心高频688词第9页共21页Day9（序号265-297）序号英文单词音标中文释义
bet|n v|打赌；赌注v.打赌；赌注n.
between|d|在…之间；介于…之间prep./adv.
beyond||超过；越过；在…之外prep.
birth|n|出生；诞生；起源n.
blame|n v|责备；指责；归咎于v.责备；责任n.
blind|a v|盲的；失明的；盲目的adj.使失明；蒙蔽v.
blood|n|血；血液；血统n.
blow|n v|吹；刮；打击v.吹；打击n.
board|n v|木板；董事会；甲板n.上船；登机；寄宿v.
bored|a|感到无聊的；厌烦的adj.
borrow|v|借；借用；借入v.
bottom|a n|底部；末端；尽头n.底部的；最后的adj.
bow|n v|鞠躬；弯腰v.弓；蝴蝶结；鞠躬n.
brain|n|大脑；头脑；智力n.
brave|a v|勇敢的；无畏的adj.勇敢面对v.
break|n v|打破；打碎；违反v.休息；中断n.
breath|n|呼吸；气息n.
bridge|n v|桥；桥梁；纽带n.架桥；连接v.
bright|a|明亮的；聪明的；晴朗的adj.
bring|v|带来；拿来；引起；导致v.
brush|n v|刷子；画笔n.刷；梳；擦v.
build|n v|建造；建筑；创建v.体格；身材n.
burden|n v|负担；重担；责任n.加重负担v.
